movie_id	person_id	award_id
1143988	261997	277751
368451	369190	21995338
368451	817511	107258
368451	182462	103618
431093	182462	103618
431093	1351247	131520
431093	774270	131520
374577	285928	3451157
1483683	267441	504298
272036	1365563	3886463
669929	882	727328
466816	77181	103916
1109750	96848	22117120
1077902	182462	103618
125925	261997	277751
979015	77181	103916
535195	505629	131520
1404775	727904	277751
570506	104109	103618
774800	182229	103916
952079	28941	103360
776337	312073	103916
1722396	1708070	131520
1722396	2576629	131520
272599	285928	103360
185214	262679	6500774
531332	463883	22117120
531332	8651	830079
460138	1298183	504298
917469	95019	103618
1194608	1610333	277751
1089809	253282	103618
798692	369190	103360
798692	1294704	107258
463733	463883	504298
463733	322179	103916
251997	1631803	107258
251997	508704	277751
860764	295593	103916
940054	213302	103618
426466	95111	103360
587579	1375642	131520
1672976	1442462	277751
830778	181819	103916
1575490	1445229	830079
1575490	486883	131520
962536	2158073	504298
1543253	1370195	131520
753107	28941	103360
753107	1666270	277751
610633	509635	281939
44662	6853627	56703675
195274	2224530	107258
195274	1499405	107258
572789	56016	103618
1170115	55264	103916
1100552	718606	131520
208632	71243	103916
208632	240370	107258
208632	203819	103618
208632	51492	103360
533902	708878	504298
1219026	727904	277751
1219026	1453229	277751
1619389	1701293	830079
1619389	730318	22752811
156497	55415	7886343
1619412	322179	2089923
1619412	506081	501004
2369228	55198	185493
849336	71206	103618
1197944	1247808	277751
463869	51114	103360
463869	350704	22752811
463869	329577	103916
463869	705058	107258
139258	1339932	501004
139258	973126	501004
1305191	645627	131520
1305191	453160	281939
1246938	8651	830079
1305415	267441	504298
1305415	983356	504298
388339	553072	2329480
1305647	453160	281939
1305647	1818548	22752811
1305647	233845	106301
1305647	460376	131520
1652827	50713	734335
1197830	1677217	501004
1150623	219521	106291
185048	1247808	277751
470218	18994	103618
475529	51492	103360
4373858	1711790	2329480
4373858	4348354	2329480
4373858	4167008	2329480
130769	8651	830079
1619752	1613153	107258
1619752	1613153	504298
1619752	182292	103916
1619752	182292	2089923
1619752	2093312	107258
1619752	2093312	504298
278513	332530	103360
241876	71275	103916
1080674	218845	1337827
612540	18994	103618
612540	62099	131520
117031	77181	2089923
426272	1547897	830079
1619866	233856	106301
1619866	1806583	501004
738552	1559075	107258
738552	1600357	107258
738552	262728	107258
738552	93632	106291
1619885	113336	281939
1619885	505114	277751
1619885	1501408	281939
165172	1065815	22752811
3702502	4360747	2329480
3702502	26184	2329480
3702502	764546	56669004
873186	290962	504298
873186	1541704	504298
