award_id	award_name
277751	Academy Award for Best Production Design
103618	Academy Award for Best Actress
21995338	Academy Award for Best Director (Dramatic Picture)
107258	Academy Award for Best Writing, Adapted Screenplay
131520	Academy Award for Best Cinematography
3451157	Academy Award for Best Director (Comedy Picture)
504298	Academy Award for Best Story
3886463	Academy Award for Best Engineering Effects
727328	Academy Honorary Award
103916	Academy Award for Best Actor
22117120	Academy Award for Best Writing
103360	Academy Award for Best Director
6500774	Laurence Olivier Award for Best Actress
830079	Academy Award for Best Sound
281939	Academy Award for Best Film Editing
56703675	Korea Musical Award for Best Supporting Actress
22752811	Academy Award for Best Score, Adaptation or Treatment
7886343	Mussolini Cup
2089923	Volpi Cup for Best Actor
501004	Academy Award for Best Assistant Director
185493	Order of Lenin
2329480	Stalin Prize
106301	Academy Award for Best Supporting Actress
734335	Louis Delluc Prize
106291	Academy Award for Best Supporting Actor
1337827	Silver Lion
56669004	State Stalin Prize, 1st degree
488651	Academy Award for Best Original Score
478850	Order of the Red Banner of Labour
2089918	Volpi Cup for Best Actress
960966	Order of the Badge of Honour
21995136	Academy Award for Best Cinematography, Color
1790292	National Board of Review Award for Best Actor
22917729	Academy Award for Best Special Effects
21995139	Academy Award for Best Cinematography, Black-and-White
1790281	New York Film Critics Circle Award for Best Actor
41417	Academy Award for Best Writing, Original Screenplay
112243	Academy Award for Best Original Song
22253133	Academy Award for Best Art Direction, Black and White
22253131	Academy Award for Best Art Direction, Color
22235329	Academy Award for Best Original Dramatic Score
4671338	Academy Award for Best Original Musical Score
1419495	National Board of Review Award for Best Actress
56669015	State Stalin Prize, 2nd degree
22752868	Academy Award for Best Original Dramatic or Comedy Score
24265493	Order of the Red Banner of Labor
822907	Golden Globe Award for Best Supporting Actress – Motion Picture
586356	Golden Globe Award for Best Director
5406912	Jussi Award for Best Photography
3110061	Golden Globe Award for Best Actor in a Leading Role
4790397	Ariel Award for Best Actress
4834543	BAFTA Award for Most Promising Newcomer to Leading Film Roles
1546403	Ariel Award
463085	Golden Globe Award for Best Actress – Motion Picture Drama
179808	Palme d'Or
22001258	Medal of the Circle of Cinematographic Writers for the best actress
844804	Cannes Film Festival Grand Prix
586140	Cannes Film Festival Award for Best Actor
723830	Golden Globe Award for Best Supporting Actor – Motion Picture
3870548	Nastro d'Argento for Best Supporting Actor
117845627	Ariel for best sound
18693547	Jussi Award for Best Supporting Actor
20002171	Mainichi Film Award for Best Screenplay
3870551	Nastro d'Argento for Best Supporting Actress
1061238	Nastro d'Argento for Best Director
840286	Cannes Film Festival Award for Best Actress
3870549	Nastro d'Argento for Best Actor
593098	Golden Globe Award for Best Actor – Motion Picture Drama
1534906	Golden Globe Award for New Star of the Year – Actor
849124	Golden Globe Award for Best Screenplay
3870555	Nastro d'Argento for Best Actress
1714070	Jussi Award for Best Direction
11886693	Jussi Award for Best Script
6359041	Ariel Award for Best Actor
889840	Bodil Award for Best Actor in a Leading Role
20002163	Mainichi Film Award for Best Director
889841	Bodil Award for Best Actor in a Supporting Role
22120066	Academy Award for Best Costume Design, Color
510175	Cannes Best Director Award
111332	Academy Award for Best Documentary Feature Film
22120095	Academy Award for Best Costume Design, Black-and-White
11973242	Gullruten award for best actor
1052227	Kinema Junpo
889842	Bodil Awards
3895781	Leopard for Best Direction
696998	National Board of Review Award for Best Director
1966051	Nastro d'Argento for Best Screenplay
3110055	Golden Globe Special Award – Juvenile Performance
18388323	Kinema Junpo Award for Best Film of the Year
3405005	Mainichi Film Award for Best Film
3858187	Filmkritikerprisen
3110053	Golden Globe for best actress
1422140	Golden Globe Award for Best Original Score
889837	Bodil Award for Best Actress in a Leading Role
56669016	State Stalin Prize, 3rd degree
209459	Golden Lion
1714071	Jussi Award for Best Leading Actor
20982919	Blue Ribbon Awards for Best Screenplay
3873087	National Board of Review Awards 1951
181883	Golden Globe Award for Best Actor – Motion Picture Musical or Comedy
19833431	Blue Ribbon Awards for Best Director
102427	Academy Award for Best Picture
277536	Academy Award for Best Costume Design
978420	Best Screenplay Award (Cannes Film Festival)
687123	BAFTA Award for Best Actress in a Leading Role
139184	BAFTA Award for Best Film
1204825	German Film Award for Best Screenplay
1204812	German Film Award for Best Direction
708135	Silver Bear
2285858	Silver Bear for best original music
1291221	Golden Globe Award for New Star of the Year – Actress
1011547	Golden Globe Award
20982918	Blue Ribbon Awards for Best Newcomer
1414482	Filmfare Award for Best Actress
578116	Filmfare Award for Best Music Director
13601550	Kinema Junpo award
2663714	BAFTA Award for Best British Film
19833556	Blue Ribbon Awards for Best Supporting Actor
1258149	Jussi Awards
2779726	Prix Suzanne Bianchetti
944480	Grand Jury Prize of the Venice Film Festival
1113428	Filmfare Award for Best Director
1414525	Filmfare Award for Best Film
3870557	Nastro d'Argento for Best Score
23498085	Medal of the Circle of Cinematographic Writers for the best actor
610136	Silver Shell for Best Actor
1011509	Golden Globe Award for Best Motion Picture – Drama
154590	Golden Bear
7650000	Sutherland Trophy
5579144	Golden Arena for Best Actress
966068	Filmfare Award for Best Supporting Actor
1204811	Deutscher Filmpreis for best actor in a supporting role
708731	German Film Award
670282	Golden Globe Award for Best Motion Picture – Musical or Comedy
787089	BAFTA Award for Best Screenplay
400007	BAFTA Award for Best Actor in a Leading Role
1700510	Golden Leopard
1414545	Filmfare Award for Best Editing
1714069	Jussi Award for Best Leading Actress
19843065	Mainichi Film Award for Best Supporting Actor
1011564	Golden Globe Award for Best Actress – Motion Picture Musical or Comedy
105304	Academy Award for Best International Feature Film
19833553	Blue Ribbon Awards for Best Foreign Film
6967724	Nastro d'Argento for Best Producer
18378043	Ariel Award for Best Direction
388433	Filmfare Award for Best Supporting Actress
1414533	Filmfare Award for Best Actor
768505	David di Donatello for Best Actress
16612253	Targa d'Oro
3703461	David di Donatello for Best Producer
114387698	Butaca Award for best musical actress
11886699	Jussi Award for Best Producer
1435633	National Film Award for Best Feature Film
3353237	Bodil Award for Best American Film
1967162	National Film Award for Best Feature Film in Bengali
1328249	National Board of Review Award for Best Foreign Language Film
3703463	David di Donatello for Best Director
1790273	New York Film Critics Circle Award for Best Actress
226003	New York Film Critics Circle
18693535	Jussi Award for Best Editing
706031	Silver Bear for Best Director
1637197	National Board of Review Award for Best Supporting Actress
376834	Silver Bear for Best Actress
3703462	David di Donatello for best foreign production
6359055	Silver Condor Award for Best Actor
674165	Tony Award for Best Featured Actor in a Musical
164200	Jury Prize
3404523	David di Donatello for Best Foreign Actor
114267430	BAFTA Award for Best Foreign Actor
3414212	Hugo Award for Best Dramatic Presentation
1204806	German Film Award for best original music
1186171	Blue Ribbon Awards
1414514	Filmfare Award for Best Dialogue
